Index,Error,Beta
0,1.8485826758500716,1
25,1.0641697391182898,1
50,1.012997756701587,1
75,0.9856877445479604,1
100,0.9439915315541577,1
125,0.6143201175600175,1
150,0.42274868209691774,1
175,0.17539299008100603,1
200,0.11847910597671779,1
225,0.08314890197201386,1
250,0.06626091276077384,1
275,0.049489712286716774,1
300,0.040439018631540286,1
325,0.03542157646121024,1
350,0.029526009713645676,1
375,0.025980022162881117,1
400,0.023207376430051153,1
425,0.02099390263680327,1
450,0.018732381581879204,1
475,0.01721845941449006,1
500,0.015921472336903608,1
525,0.014682008710177413,1
550,0.013691466009834289,1
575,0.012817090294525423,1
600,0.011978101219204796,1
625,0.011302691148726677,1
650,0.010639167376906962,1
675,0.010080121513989885,1
700,0.009637258898005272,1
725,0.00918829165830753,1
750,0.008713044584974015,1
775,0.008311189476135555,1
800,0.007973876940252707,1
825,0.007628300789128352,1
850,0.007334397188174528,1
875,0.007069392893941909,1
900,0.006804636772291475,1
925,0.006554648412151754,1
950,0.006343079758091796,1
975,0.006127180634204051,1
1000,0.005919808028760614,1
1025,0.005733454936727896,1
1050,0.005549416788384699,1
1075,0.005391788179636808,1
1100,0.005231255406947571,1
1125,0.005082147000170309,1
1150,0.004935158350017376,1
1175,0.004801819511889508,1
1200,0.004676978721674766,1
1225,0.004558972184863648,1
1250,0.004450382843011035,1
1275,0.00433983283113314,1
1300,0.004244432853545581,1
1325,0.004145848829334031,1
1350,0.004055271279628604,1
1375,0.003957993807973338,1
1400,0.003876529676068951,1
1425,0.0038035647646579036,1
1450,0.0037207355703527513,1
1475,0.0036473989746195193,1
